Removed Member From Class: ClassName=Origin_pi Member=U??
Change Component Footprint: Designator=U? Old Footprint=LQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP5.0 New Footprint=USB-SMD_TYPE-C16PIN
Change Component Footprint: Designator=U? Old Footprint=MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL New Footprint=PCBComponent_1 - duplicate
Change Component Footprint: Designator=U? Old Footprint=R8723BS New Footprint=SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR
Change Footprint: Footprint Not Found R8723BS
Change Footprint: Footprint Not Found LQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP5.0
Change Component Footprint: Designator=U? Old Footprint=USB-SMD_TYPE-C16PIN New Footprint=SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR
Change Component Comment : Designator=U? Old Comment=CH340E New Comment=中景园2.0寸TFT12PIN焊接
Change Component Comment : Designator=U? Old Comment=RTL8723BS_Module New Comment=SY8088AAC
Change Component Comment : Designator=U? Old Comment=SY8088AAC New Comment=V3s
Change Component Comment : Designator=U? Old Comment=TYPE-C16PIN母座 板上四脚三次molding New Comment=XC6206P332MR-G
Change Component Comment : Designator=U? Old Comment=V3s New Comment=TYPE-C16PIN母座 板上四脚三次molding
Change Component Comment : Designator=U? Old Comment=XC6206P332MR-G New Comment=RTL8723BS_Module
Change component parameters: Designator = "U?" ("U?"); Footprint = "MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL"; UniqueID = "\IIAFBKSA" ("\IIAFBKSA")
Change component parameters (AddParameter): Name = "Low-Voltage Detect"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Allwinner(全志)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "V3s"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "V3s"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Voltage Range"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peripheral/Function"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Program Memory Type"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PWM (Bit)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Real-Time Clock"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Secure Digital Input and Output"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SPI"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "LQFP-128-EP(14x14)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C2687449"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "V3S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "UART/USART"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Universal Serial Bus"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Watchdog"; Value = "-"; VariantName = "[No Variations]"
Change component parameters: Designator = "U?" ("U?"); Footprint = "LQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP5.0"; UniqueID = "\IZNCFNLX" ("\IZNCFNLX")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "2021-09-15/03900G/aaf837f0873f462e9eab7ac60a9bb940/aac77-74p5r.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "TYPE-C16PIN母座 板上四脚三次molding"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "TYPE-C16PIN母座 板上四脚三次molding"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "TYPE-C16PIN母座 板上四脚三次molding"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "TYPE-C16PIN母座 板上四脚三次molding"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "TYPE-C16PIN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C9900000202"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "TYPE-C16PIN母座 板上四脚三次MOLDING"; VariantName = "[No Variations]"
Change component parameters: Designator = "U?" ("U?"); Footprint = "USB-SMD_TYPE-C16PIN"; UniqueID = "\GJXUSPRG" ("\GJXUSPRG")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20130823/1457706639850.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "XC6206P332MR-G_C5446"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dropout Voltage"; Value = "680mV@(100mA)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "基础库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "输入6V 输出3.3V 200mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TOREX(特瑞仕)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "XC6206P332MR-G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MAX Output Current"; Value = "200mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Input Voltage"; Value = "6V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "XC6206P332MR-G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Polarity"; Value = "正极"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Type"; Value = "固定"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Voltage"; Value = "3.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Supply Rejection Ratio (PSRR)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOT-23-3L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C5446"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "XC6206P332MR"; VariantName = "[No Variations]"
Change component parameters: Designator = "U?" ("U?"); Footprint = "SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR"; UniqueID = "\KWZEZUAI" ("\KWZEZUAI")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "R8723BS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "RTL8723BS_Module"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "R8723BS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "RTL8723BS_Module"; VariantName = "[No Variations]"
Change component parameters: Designator = "U?" ("U?"); Footprint = "R8723BS"; UniqueID = "\HLXQQMIZ" ("\HLXQQMIZ")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20170329/1490752163260.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "SY8088AAC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Function"; Value = "降压型"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Voltage"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "SY8088AAC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "silergy(矽力杰)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "SY8088AAC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "SY8088AAC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current (Max)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOT-23-5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C79313"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch tube (built-in/external)"; Value = "内置"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switching Frequency"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "SY8088AAC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Synchronous Rectification"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Topology"; Value = "-"; VariantName = "[No Variations]"
Added Component: Designator=U?(MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL)
Add component (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Applications Function"; Value = "收发器"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Data Rate"; Value = "2Mbps"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20230530/6E401E9554E9F5311886CC8B3F89B62E.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device"; Value = "CH340E"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LCSC Part Name"; Value = "USB转串口芯片 CH340"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "WCH(南京沁恒)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part"; Value = "CH340E"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Name"; Value = "CH340E"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Protocol"; Value = "USB 2.0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Footprint"; Value = "MSOP-10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part"; Value = "C99652"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supply Voltage"; Value = "3.3V；5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Symbol"; Value = "CH340E"; VariantName = "[No Variations]"
Added Member To Class: ClassName=Origin_pi Member=Component U? V3s
Added Member To Class: ClassName=Origin_pi Member=Component U? TYPE-C16PIN母座 板上四脚三次molding
Added Member To Class: ClassName=Origin_pi Member=Component U? CH340E
Added Member To Class: ClassName=Origin_pi Member=Component U? XC6206P332MR-G
Added Member To Class: ClassName=Origin_pi Member=Component U? RTL8723BS_Module
Added Member To Class: ClassName=Origin_pi Member=Component U? SY8088AAC
Added Room: Name=Origin_pi
